group_id,module_path,channel_index,harm_awbir,harm_fine_macro_f1,harm_family_macro_f1,harm_hsr_balanced_soc
conv.0:out:0,conv.0,0,0.0146812791223644,0.0004014678996707,0.010280476561005,0.0027960428884544
conv.0:out:1,conv.0,1,0.0095383582094749,-0.0083758732639295,-0.009602325395411,-0.0063621823351696
conv.0:out:2,conv.0,2,0.0255236856278872,0.0035859409029945,0.0120423240440397,0.0037083111190095
conv.0:out:3,conv.0,3,0.0178627018082415,-0.0355460632701949,-0.0510786308138971,-0.0166696285765061
conv.0:out:4,conv.0,4,0.3270267872938355,0.0226323720371759,0.0754369546955405,0.0126295835554765
conv.0:out:5,conv.0,5,0.0069003666775295,-0.018116361480314,-0.0154250084949406,-0.0077365085006812
conv.0:out:6,conv.0,6,0.0296087357457355,0.0101593123723848,0.0188014028305428,0.0077246608613233
conv.0:out:7,conv.0,7,0.0176597002745207,-0.0015117508876078,0.0067109724044762,0.0015520407558793
conv.0:out:8,conv.0,8,0.0344811351364404,0.0019827654170358,0.0488580896270242,0.0159350749363189
conv.0:out:9,conv.0,9,0.0095619777869373,-0.0018554136438976,0.000776404378716,-0.0004265150168828
conv.0:out:10,conv.0,10,0.1640093484423152,0.0660698188670139,0.0392823426639145,0.0201054439902849
conv.0:out:11,conv.0,11,0.0545372019075817,-0.0304738070102806,-0.0883094194828402,-0.0259463301937089
conv.0:out:12,conv.0,12,0.0239505507681502,-0.0057277897589583,0.0143517454840862,0.0045731887921331
conv.0:out:13,conv.0,13,0.1068769217226507,0.0368620140779868,0.0860663730367636,0.0292162786564776
conv.0:out:14,conv.0,14,0.0107070944603914,0.0003105807032922,0.0060312243660266,0.0019193175759729
conv.0:out:15,conv.0,15,0.0292699071947162,-0.0210135048425382,-0.0265416582100981,-0.0127836028671287
conv.0:out:16,conv.0,16,0.0069537171195212,-0.0291961907259349,-0.0230062980144707,-0.0105443990284935
conv.0:out:17,conv.0,17,0.0360697597344812,0.009894472291566,0.0502510815124958,0.0190036135300041
conv.0:out:18,conv.0,18,0.0240246842601207,0.00940008053949,0.0210024161434112,0.0081985664356377
