class,family,train,val
ARP_Spoofing,Spoofing,12808,3202
Benign,Benign,154186,38546
MQTT-DDoS-Connect_Flood,MQTT,138429,34607
MQTT-DDoS-Publish_Flood,MQTT,22098,5525
MQTT-DoS-Connect_Flood,MQTT,10218,2555
MQTT-DoS-Publish_Flood,MQTT,35501,8875
MQTT-Malformed_Data,MQTT,4104,1026
Recon-OS_Scan,Recon,11371,2843
Recon-Ping_Sweep,Recon,551,138
Recon-Port_Scan,Recon,59108,14777
Recon-VulScan,Recon,1626,406
TCP_IP-DDoS-ICMP,DDoS,168206,42051
TCP_IP-DDoS-SYN,DDoS,462119,115530
TCP_IP-DDoS-TCP,DDoS,198614,49653
TCP_IP-DDoS-UDP,DDoS,1308765,327191
TCP_IP-DoS-ICMP,DoS,116250,29063
TCP_IP-DoS-SYN,DoS,277628,69407
TCP_IP-DoS-TCP,DoS,176944,44236
TCP_IP-DoS-UDP,DoS,453537,113384
