module_path,channel_index,group_id
conv.0,51,conv.0:out:51
conv.3,85,conv.3:out:85
conv.3,20,conv.3:out:20
conv.3,71,conv.3:out:71
conv.3,4,conv.3:out:4
conv.3,99,conv.3:out:99
conv.3,60,conv.3:out:60
conv.0,27,conv.0:out:27
conv.3,111,conv.3:out:111
conv.3,10,conv.3:out:10
conv.0,17,conv.0:out:17
conv.3,75,conv.3:out:75
conv.3,58,conv.3:out:58
conv.3,33,conv.3:out:33
conv.3,21,conv.3:out:21
conv.0,4,conv.0:out:4
conv.3,123,conv.3:out:123
conv.3,44,conv.3:out:44
conv.3,64,conv.3:out:64
conv.3,96,conv.3:out:96
conv.3,90,conv.3:out:90
conv.0,59,conv.0:out:59
conv.3,34,conv.3:out:34
conv.0,8,conv.0:out:8
conv.0,36,conv.0:out:36
conv.0,49,conv.0:out:49
conv.0,58,conv.0:out:58
conv.3,88,conv.3:out:88
conv.3,63,conv.3:out:63
conv.3,26,conv.3:out:26
conv.0,28,conv.0:out:28
conv.3,24,conv.3:out:24
conv.3,110,conv.3:out:110
conv.3,19,conv.3:out:19
conv.3,66,conv.3:out:66
conv.3,50,conv.3:out:50
conv.0,35,conv.0:out:35
conv.0,25,conv.0:out:25
conv.0,50,conv.0:out:50
conv.3,47,conv.3:out:47
conv.3,6,conv.3:out:6
conv.0,38,conv.0:out:38
conv.0,15,conv.0:out:15
