group_id,module_path,channel_index,harm_awbir,harm_hsr_balanced_soc,harm_fine_macro_f1,harm_family_macro_f1,harm_benign_false_alert
conv.0:out:0,conv.0,0,0.1248607185104747,0.04188193662538203,0.07371296377289127,0.06877680797520247,0.0050000000000000044
conv.0:out:1,conv.0,1,0.1046687401670344,0.0026894000321698586,0.0181696792048458,0.008246879621677028,0.08474999999999999
conv.0:out:2,conv.0,2,0.031656929698481995,0.003052919414508609,0.007540365587788811,0.0051982510520443,0.0010000000000000009
conv.0:out:3,conv.0,3,0.1609345253928609,0.024037317033939215,0.05888266356764671,0.04644070879345563,0.0315
conv.0:out:4,conv.0,4,0.14444383200670202,0.08133826604471611,0.13099317527727206,0.1620932167170317,0.35000000000000003
conv.0:out:5,conv.0,5,0.03689784965813015,-0.0008750201061605289,-0.00125019248713798,0.0011937374990199645,-0.0034999999999999892
conv.0:out:6,conv.0,6,0.10282851764898147,0.010876628599002736,0.025701630357715888,0.011456273509061976,0.06475
conv.0:out:7,conv.0,7,0.08617902191822069,0.011832073347273597,0.01677204564517587,0.016823163270579422,-0.02099999999999999
conv.0:out:8,conv.0,8,0.05558773278943012,-0.0035322502814862378,0.005811777165178,-0.0020742989893957064,0.057499999999999996
conv.0:out:9,conv.0,9,0.04908511378394933,-0.0023130127070934425,-0.005133142180763661,-0.001442591244983804,0.008250000000000007
conv.0:out:10,conv.0,10,0.1794535115237963,0.03310278269261702,0.05653573522758337,0.055283426339223896,-0.05274999999999999
conv.0:out:11,conv.0,11,0.09731782544722614,0.012433649670258978,0.02374444459411107,0.021583693128385484,0.020250000000000004
conv.0:out:12,conv.0,12,0.2411928361582285,0.24561685700498637,0.4208782075749543,0.5063197897361347,0.891
conv.0:out:13,conv.0,13,0.07130302959241751,0.0038249959787678978,0.0026305114185087852,0.002191672863786742,0.014499999999999999
conv.0:out:14,conv.0,14,0.23609474441046377,0.11554125784140257,0.2212190938526052,0.16993666137490937,-0.026999999999999996
conv.0:out:15,conv.0,15,0.08637459782582971,0.01113398745375585,0.028652342487699878,0.016518654322722037,0.005750000000000005
conv.0:out:16,conv.0,16,0.029618231141971645,-0.002866334244812613,-0.006545921520890952,-0.00613553168316483,0.005500000000000005
conv.0:out:17,conv.0,17,0.03218148094009462,-0.0029982306578735796,-0.014919423597479997,-0.0005070288222717156,-0.022249999999999992
conv.0:out:18,conv.0,18,0.09132462910706854,0.01912497989383949,0.03837930446675475,0.04142235423830176,0.047000000000000014
conv.0:out:19,conv.0,19,0.11154606176340523,0.009174843171947888,0.02606148762282967,0.007317340513468218,0.055999999999999994
conv.0:out:20,conv.0,20,0.03372490801560718,0.00019945311243366182,0.00785554623807061,0.00467591021904723,0.01475
conv.0:out:21,conv.0,21,0.023444807414654517,0.0036255428663342637,0.004044498664329876,0.005241449346061522,-0.006749999999999992
conv.0:out:22,conv.0,22,0.07221470524323859,0.012626668811323793,0.027933911218365748,0.02360834131569156,-0.013749999999999998
conv.0:out:23,conv.0,23,0.09184244636888274,0.002892070130287916,0.010235184190903523,0.002502593913660034,-0.0017499999999999877
conv.0:out:24,conv.0,24,0.0722736663483494,0.013054527907350816,0.02215122746580034,0.018750533899869914,-0.015
conv.0:out:25,conv.0,25,0.07220028086415738,-0.006572301753257209,-0.007081033385036295,-0.0064561963365514785,-0.01974999999999999
conv.0:out:26,conv.0,26,0.17381067695872077,0.034804568119671864,0.07791743125279627,0.051311300545435756,0.008500000000000008
conv.0:out:27,conv.0,27,0.08068159269605468,0.012369309956570707,0.03713078893153832,0.026750303451596125,0.003500000000000003
conv.0:out:28,conv.0,28,0.1405774492228456,0.014775615248512147,0.04678610090213875,0.031628969207158186,-0.006499999999999992
conv.0:out:29,conv.0,29,0.15080870416559383,0.028274087180312046,0.06925524507804437,0.047254252476357506,0.024750000000000008
conv.0:out:30,conv.0,30,0.009624513721685478,-0.004452308187228582,-0.010684662891568775,-0.0038836827200579016,-0.0034999999999999892
conv.0:out:31,conv.0,31,0.08213974052502092,0.00204278590960269,0.014957935152347002,0.0033679922658743644,0.018750000000000003
conv.0:out:32,conv.0,32,0.2092626176552783,0.07434775615248512,0.14911780806581387,0.18087790761880007,0.42175
conv.0:out:33,conv.0,33,0.09029722106416194,0.012935499437027487,0.02435425855991491,0.015401291092315028,-0.01999999999999999
conv.0:out:34,conv.0,34,0.06896966218452719,-0.0015216342287276974,0.003311380336803005,-0.007505651604263974,0.029250000000000012
conv.0:out:35,conv.0,35,0.19833019970536767,0.06716422711918929,0.14039630135201375,0.15830803854424136,0.21600000000000003
conv.0:out:36,conv.0,36,0.12670503418920467,0.016364806176612512,0.06656712296757983,0.03781403953840334,0.08400000000000002
conv.0:out:37,conv.0,37,0.17546325604666196,0.03336657551873895,0.08031302020075448,0.057064009753498235,0.05374999999999999
conv.0:out:38,conv.0,38,0.06380776173355418,0.003329580183368208,0.007495619005692067,0.009804317503722126,-0.009999999999999995
conv.0:out:39,conv.0,39,0.03133221851197892,0.0065755187389416325,0.0062061647788823615,0.008038954418591704,-0.00399999999999999
conv.0:out:40,conv.0,40,0.11118045526104937,0.019218272478687487,0.04709286630584886,0.03792174099605994,0.12125
conv.0:out:41,conv.0,41,0.11208161642771339,0.007920218755026548,0.020564468234192446,0.006202219756930583,-0.0017499999999999877
conv.0:out:42,conv.0,42,0.07435176922116844,0.008232266366414664,0.011064781829601689,0.01390460015457029,0.024750000000000008
conv.0:out:43,conv.0,43,0.19939457544534567,0.0848512144120959,0.18013003010447914,0.1997353060807624,0.47574999999999995
conv.0:out:44,conv.0,44,0.09918460838219678,0.019633263631976844,0.03619297963484225,0.03429432301738511,-0.032249999999999994
conv.0:out:45,conv.0,45,0.14447120432241603,0.022232588064983128,0.0486458056791903,0.039067436214283546,-0.006249999999999992
conv.0:out:46,conv.0,46,0.037035642381772135,-0.00033778349686344744,-0.00019820245717050433,-0.0002460692627397343,-0.010749999999999996
conv.0:out:47,conv.0,47,0.07418516426563619,0.007598520186585189,0.01615294831398484,0.012814889398818807,0.0020000000000000018
conv.0:out:48,conv.0,48,0.06364467165029594,0.007804407270387642,0.017389496077456545,0.010550566898899438,0.0037500000000000033
conv.0:out:49,conv.0,49,0.1041101828101067,0.019198970564581003,0.03427625277803514,0.026481706913569103,-0.0155
conv.0:out:50,conv.0,50,0.11081439531074339,0.015788965739102462,0.0367076425809415,0.03076013931014776,0.018750000000000003
conv.0:out:51,conv.0,51,0.08053150410330473,0.012259932443300647,0.027836066936943515,0.022803908743970203,0.02850000000000001
conv.0:out:52,conv.0,52,0.15376564147013153,0.024391185459224723,0.04830083758342485,0.02425776109309541,-0.012249999999999997
conv.0:out:53,conv.0,53,0.186680512113839,0.03257519704037318,0.0785370958253887,0.06904754642536926,0.0915
conv.0:out:54,conv.0,54,0.09462514832376268,0.005494611548978623,0.017231629154513706,0.008932629391162017,-0.0012500000000000011
conv.0:out:55,conv.0,55,0.13990223080813538,0.027823709184494116,0.059300538182560425,0.045493824663196625,0.023250000000000007
conv.0:out:56,conv.0,56,0.0966303617987466,0.005288724465176142,0.013858665099826917,0.005898960177010748,-0.011499999999999996
conv.0:out:57,conv.0,57,0.13470432273858898,0.041505549300305616,0.08709634577630454,0.08278543293765783,-0.0014999999999999875
conv.0:out:58,conv.0,58,0.20640764988619878,0.03196396976033458,0.08924406480392899,0.036715016312149684,-0.033499999999999995
conv.0:out:59,conv.0,59,0.12552694319067398,0.025944989544796543,0.06191885783313311,0.05053932667742611,0.020000000000000004
conv.0:out:60,conv.0,60,0.07816872923883493,0.00965739102460994,0.021160968740627673,0.014756714358888812,-0.011749999999999997
conv.0:out:61,conv.0,61,0.06217851167210006,0.015152002573588563,0.022845757601608785,0.019273398672940978,-0.01874999999999999
conv.0:out:62,conv.0,62,0.10237033764259244,0.00221006916519223,0.011678412738904576,-0.00038680429583837217,0.023500000000000007
conv.0:out:63,conv.0,63,0.044979217701505154,-0.0008846710632137711,-0.0009017528073398395,-0.0010175929481726076,-0.002249999999999988
conv.3:out:0,conv.3,0,0.009390308093125284,-0.0007206047933086546,-0.0045758293368654,-0.0016605282449625447,-0.0007500000000000007
conv.3:out:1,conv.3,1,0.03948168180956207,0.0024899469197361968,0.008798318627865176,0.0031395489165046975,-0.0012500000000000011
conv.3:out:2,conv.3,2,0.08084987593017263,0.013221811162940328,0.036044171891095655,0.02388631405225783,-0.0010000000000000009
conv.3:out:3,conv.3,3,0.024138844471202518,0.0038957696638249883,0.005555614588517943,0.003933105947227844,-0.0007500000000000007
conv.3:out:4,conv.3,4,0.019199630368763092,0.002415956248994683,0.002670629460584162,0.005715538259485009,-0.010749999999999996
conv.3:out:5,conv.3,5,0.02217892904770129,-0.0016535306417886364,-0.0013006641803213759,-0.0010933171383017415,-0.001999999999999988
conv.3:out:6,conv.3,6,0.05718469931660846,-0.0005790574231944734,0.007126951921808677,0.00028329904722923516,0.0030000000000000027
conv.3:out:7,conv.3,7,0.018590897626741924,-0.0025639375904777384,-0.0024495014413444816,-0.0036124709745664063,0.0007500000000000007
conv.3:out:8,conv.3,8,0.061620527494222005,0.00480617661251409,0.014065756430963305,0.007889238382488561,0.006750000000000006
conv.3:out:9,conv.3,9,0.00814682374019732,-0.0019205404535949655,-0.005394170801803599,-0.0034202128254534614,0.0005000000000000004
conv.3:out:10,conv.3,10,0.055944718930189374,0.0030239665433488827,0.010152004680387683,0.0030662233308396125,-0.0012500000000000011
conv.3:out:11,conv.3,11,0.013485753988478313,0.0005694064661412312,-2.9005177137886307e-07,0.014236273042246284,0.016
conv.3:out:12,conv.3,12,0.032483083752614494,-0.0014637284864082445,0.0006659609770212072,-0.0005285186864838476,-0.001999999999999988
conv.3:out:13,conv.3,13,0.018097278392317312,0.002834164387968491,0.0010137572025905595,0.0033179176119128018,-0.006999999999999992
conv.3:out:14,conv.3,14,0.011022334608355637,-0.0028888531446034926,-0.006918379224656768,-0.0035508548956544317,0.017
conv.3:out:15,conv.3,15,0.014258183447909425,-0.0017596911693743,-0.0009052116177141745,-0.002859974032069501,-0.00399999999999999
